City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
312,Urdoma,RU,61.7533,48.5442,42.55,97,98,4.61,overcast clouds
313,Neuquen,AR,-38.9516,-68.0591,76.89,23,0,4.61,clear sky
314,Devonport,AU,-41.1667,146.35,54.0,59,100,15.39,light rain
315,Misratah,LY,32.3754,15.0925,77.2,68,0,14.12,clear sky
316,San Pedro,PH,14.35,121.0167,82.15,89,87,2.66,overcast clouds
317,Zyryanskoye,RU,56.8306,86.6258,38.91,81,100,8.97,overcast clouds
318,Sulangan,PH,11.1373,123.7228,82.81,77,85,4.12,light rain
319,Cordoba,AR,-31.4135,-64.1811,79.43,39,0,11.01,clear sky
320,Guariba,BR,-21.36,-48.2283,90.72,37,63,5.44,broken clouds
321,Guadix,ES,37.2993,-3.1392,67.32,41,12,4.41,few clouds
322,Klaksvik,FO,62.2266,-6.589,41.92,64,36,3.44,scattered clouds
323,Diamantino,BR,-14.4086,-56.4461,92.3,35,49,7.83,scattered clouds
324,Coruripe,BR,-10.1256,-36.1756,74.84,86,38,9.35,scattered clouds
325,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,13.8,light rain
326,Saldanha,ZA,-33.0117,17.9442,58.1,75,76,14.83,broken clouds
327,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,38,13.2,scattered clouds
328,Lianyuan,CN,27.6883,111.6642,68.16,89,0,1.74,light rain
329,Chulman,RU,56.8479,124.9104,27.55,97,100,8.3,snow
330,Saint-Pierre,RE,-21.3393,55.4781,71.24,76,20,6.91,few clouds
331,Sovetskiy,RU,61.3614,63.5842,34.02,84,55,2.08,broken clouds
332,Dikson,RU,73.5069,80.5464,33.03,98,100,16.49,overcast clouds
333,Bandundu,CD,-3.3167,17.3667,77.97,78,96,2.62,overcast clouds
334,Roma,US,43.2128,-75.4557,64.26,55,90,11.5,overcast clouds
335,Antofagasta,CL,-23.65,-70.4,60.08,73,12,5.57,few clouds
336,Clyde River,CA,70.4692,-68.5914,30.43,100,75,11.5,broken clouds
337,Talnakh,RU,69.4865,88.3972,31.93,95,100,15.03,snow
338,Marawi,PH,7.9986,124.2928,68.65,90,100,2.95,overcast clouds
339,Severskaya,RU,44.8541,38.6769,52.77,100,63,15.97,broken clouds
340,Ahmadpur East,PK,29.1431,71.2598,90.18,47,5,8.59,clear sky
341,Caernarfon,GB,53.1413,-4.2702,56.68,59,20,19.57,few clouds
342,Leningradskiy,RU,69.3833,178.4167,27.21,96,100,10.63,light snow
343,Nampula,MZ,-15.1165,39.2666,71.55,88,0,12.66,clear sky
344,Hisar,IN,29.1667,75.7167,81.32,73,8,6.85,clear sky
345,Conde,BR,-7.2597,-34.9075,78.26,89,20,9.22,few clouds
